model,run,mae,r2,spearman
evaluation_accuracy_control,run-98357fef99fe/seed-971400669,0.07217605310452724,0.5584417987935715,0.6015987035432734
evaluation_accuracy_control,run-be83c9d3e5af/seed-2325060526,0.2894205071855339,-0.11333295926696119,-0.15570999523354678
evaluation_accuracy_control,run-be83c9d3e5af/seed-3549333581,0.29922950924779435,-5.862592214166869,0.6544555411012852
evaluation_accuracy_control,run-ebbe4035ec6e/seed-1741336945,0.2672803750218013,-3.6367883286812273,0.9064783646369017
evaluation_accuracy_control,run-ebbe4035ec6e/seed-3002361271,0.16396606781986323,0.28829670072262725,0.6146410569202777
evaluation_accuracy_control,run-ef7523a1358a/seed-1226023601,0.1496717595164756,0.003815963403589584,0.7280665344860803
evaluation_accuracy_control,run-ef7523a1358a/seed-881886696,0.3883178891758717,-1.9042477126118849,0.6886483391856749
evaluation_accuracy_control,run-f856f0c1ae51/seed-2722409734,0.10029955361411425,0.5010982460795602,0.8433013363651889
evaluation_accuracy_control,run-f856f0c1ae51/seed-310190245,0.09703569773385803,0.5767932042032526,0.8241259454894553
behavioral_raw_logits,run-0e25bbe73f49/seed-3127276340,0.06678497969843182,0.8427719167888377,0.8913176049957457
behavioral_raw_logits,run-0e25bbe73f49/seed-4247511459,0.0923917139226639,0.7935288118734636,0.6909329713497177
behavioral_raw_logits,run-98357fef99fe/seed-4292514521,0.12750317815308154,0.2888787083724076,0.750035180711608
behavioral_raw_logits,run-98357fef99fe/seed-971400669,0.04460316245807944,0.8373361374243358,0.8183310670853479
behavioral_raw_logits,run-be83c9d3e5af/seed-2325060526,0.2407886249012403,0.2668685603236429,0.7613327914747829
behavioral_raw_logits,run-be83c9d3e5af/seed-3549333581,0.16821256869892537,-1.20041707340786,0.8187617260787995
behavioral_raw_logits,run-ebbe4035ec6e/seed-1741336945,0.27652303853424237,-3.9923687276139095,0.9712463071803974
behavioral_raw_logits,run-ebbe4035ec6e/seed-3002361271,0.10930964619999291,0.649332046529514,0.8500398714731556
behavioral_raw_logits,run-ef7523a1358a/seed-1226023601,0.12083103653335456,0.42946853238188354,0.9039219524885707
